,filepath,transcript
14,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649673972414_chunk_11_enhanced.wav,अनि त्यसको जिपे छ भने जिपेबडै युज गर्न सक्छ जस्तै अब हामी काँई स केई समान किन्नु गोयो हरे हैन हाम्रो आबो क्यास पैसा सक्यो भने हामीले तेल्लाई जिपे गर्नु सकिन्छ र
15,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649673972414_chunk_14_enhanced.wav,र डिजिटल इन्डिया हुँदैछ त्यै भएर इन्डियाकोम् आबो उन्नति हुन्छ हाम्रो
16,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649673952936_chunk_1_enhanced.wav,मेरो पेटिएम क्युआर कोड फुलमाया फुँयालसँग वाड्सएपमा साझा गर्नुहोस्
17,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674019265_chunk_1_enhanced.wav,दार्जिलिङ जिल्लामा मुख्य समाजिक कल्याण र विकासको निम्ति धेरै कार्यहरू छन् जस्तै लक्ष्मी भन्डार भयो है लक्ष्मी भन्डारमा हामीलाई है पान सौ रुपियाँ गरेर मन्थली आउँछ स्वास्थ्य साथी अब त्यो चैँ अब एउडा कार्ड हुन्छ है त्यो चाहिँ हस्पिटलमा लगेर हामीलाई बिमारीहरू भएकोमा त्यसमा निकै नै हेल्प हुन्छ
18,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674019265_chunk_6_enhanced.wav,दार्जिलिङ जिल्लामा सुविधा लगाइरहेको हुनुहुन्छ यै सुविधा चैँ हामीले पाइरहेका छौँ
19,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674014516_chunk_1_enhanced.wav,दार्जिलिङ जिल्लामा मानिसहरूले धेरै प्रकारका कामहरू गर्छन् हाम्रो दार्जिलिङ एउटा फेमस ठाउँ हो
20,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674014516_chunk_2_enhanced.wav,यहाँ धनीभन्दा धनी मानिसहरू पनि छन् अन्त गरिबभन्दा गरिब मानिसहरू पनि छन् तर जस्तै मानिस भए पनि याँ सबजनाले गुजारा गरिबस्दछन्
21,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674014516_chunk_4_enhanced.wav,त्यसै प्रकारले दार्जिलिङ एउटा टुरिस्ट प्लेस हो
22,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674014516_chunk_10_enhanced.wav,त्यसै प्रकारले दार्जिलिङ एउटा
23,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674014516_chunk_11_enhanced.wav,विकसित भएको सहर हो यहाँ सबजना एकदम ठुला ठुला भइसकेको छन् गरिब गरिबी छैन ज्यादा दार्जिलिङमा महङ्गाइ ज्यादा छैन
24,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674014516_chunk_12_enhanced.wav,दार्जिलिङमा जबहरू गर्ने पनि थुप्रै मानिसहरू छन्
25,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674021660_chunk_1_enhanced.wav,मेरो लेखनमा कुनै लक्ष्य वा आकाङ्क्षा छ भने मैले आफ्नो गाउँ आफ्नो ठाउँलाई चिनाउने लक्ष्य बोकेको छु
26,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674067908_chunk_1_enhanced.wav,यो एउटा सबैको घरमा च चलिरहेको कुरा हो र सबैलाई थाहा छ धेरै मान्छेले गाउँठाउँमा समाजमा धेरै मान्छेले ज्यान गमाएको गुमाएको छन् र डेली लाइफमा हामीले सुन्दै आउँछौँ कसैको सर्ट सर्किट भएर करेन्टमा ज्यान गयो
27,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674067908_chunk_2_enhanced.wav,कसैको कसैको केहीमा एलेक्ट्रोनिक फोनहेरूमा भयो बेसी चार्जिङमा भएर ब्लास्ट भयो यो कुराहरू डेली लाइफमा सुनिरहेको कुरा हो र यसबड कसरी बाचिने भन्दा चैँ तपाईँको घरमा केही ठुलै प्रोग्राम फङ्सन्सहरू हुन्छ र त्यति बेला विशेष रूपमा त्यतिबेला चैँ अलिक ध्यान गर्नुपर्छ
28,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674067908_chunk_4_enhanced.wav,र जब कसैलाई अचानक करेन्ट या बिजुलीले समात्छ त्यति बेला आफूले
29,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674067908_chunk_7_enhanced.wav,मे बिजुलीहेरू अन अफ केही सर सर्ट सर्किट हुने डाउटहरू लाग्यो तपाईँलाई र केही फङसनतिरै केही त्यस्तो हुने भयो भने करेन्टहेरूको हल्का आगोसागो केही भयो भने मेन चिज चैँ मेन स्विच अफ गर्नुपर्छ जहाँनिरि तपाईँको यो
30,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674067908_chunk_8_enhanced.wav,घरको मेन स्विच भनेको एउटै हुन्छ त्यो चिज चैँ अफ गर्नुपर्छ र यसबट य यही हो बाँचिने कुराहरू र
31,/home/prasais/projects/xttsv2/F5-TTS/data/indic_r_char/wavs_24000/3940649674067908_chunk_10_enhanced.wav,र मेन जति पनि तारहरू हुन्छ तारहरू चैँ अलिक सेफ्टिवालै युज गर्नुपर्छ र
